0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.0377	0.0039	0.7275	1.0	0.0275	1.0	0.9927	0.0684	1.0	0.5803	0.3633	0.0509	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5567	0.0127
0.6445	0.4514	0.2611	1.0	0.0013	1.0	1.0	0.0219	1.0	0.8543	0.4485	0.0131	1.0	0.036	0.4069	1.0	1.0	1.0	1.0	1.0	0.0847
0.2013	0.1601	0.4573	1.0	0.1621	1.0	0.988	0.1043	1.0	0.5615	0.7602	0.4207	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0655	0.0037
0.0458	0.2598	0.0571	1.0	0.218	1.0	0.8853	0.218	1.0	0.007	0.1967	0.2459	1.0	1.0	1.0	1.0	0.0166	1.0	1.0	1.0	0.0664
0.1065	0.4645	0.5287	1.0	0.3433	1.0	0.6118	0.4118	1.0	0.8127	0.4683	0.2254	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3984
0.4375	1.0	0.9819	1.0	0.1443	1.0	0.6666	0.4343	1.0	1.0	0.7379	0.8078	1.0	1.0	0.3839	1.0	1.0	1.0	1.0	1.0	0.158
0.0808	0.4278	0.7915	1.0	0.0044	1.0	0.8905	0.2929	1.0	0.5028	0.0045	0.3934	1.0	1.0	0.3651	1.0	1.0	1.0	1.0	0.1721	0.0011
0.4084	0.6817	0.6567	1.0	0.1014	1.0	0.8918	0.2618	1.0	0.5719	0.0687	0.2911	1.0	1.0	0.6148	1.0	1.0	1.0	1.0	0.8605	0.0692
0.4165	0.1529	0.5646	1.0	0.5327	1.0	0.9929	0.1133	1.0	0.0014	0.2688	0.2317	1.0	1.0	0.1245	1.0	1.0	1.0	1.0	1.0	0.3771
0.8671	1.0	0.6008	1.0	0.6667	1.0	0.8448	0.1238	1.0	0.2203	0.5705	0.1568	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7871	0.7179
0.1554	0.0102	0.2578	1.0	0.001	1.0	0.9679	0.2869	1.0	0.6244	0.8884	0.3172	1.0	1.0	0.6813	1.0	1.0	1.0	1.0	0.24	0.0076
0.5882	0.6327	0.1368	1.0	0.2073	1.0	0.823	0.1823	1.0	0.501	0.7613	0.2516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0318
1.0	0.0425	1.0	1.0	0.8329	1.0	0.5431	0.4258	1.0	1.0	0.2863	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2475
0.3213	0.1459	0.553	1.0	0.0071	1.0	0.9928	0.3104	1.0	0.0692	0.5402	0.1959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2327	0.0526
0.768	0.3656	0.3524	1.0	0.202	1.0	0.6944	0.4774	1.0	1.0	0.9445	0.4019	1.0	1.0	1.0	1.0	0.027	1.0	1.0	0.626	0.0589
0.065	0.273	0.3665	1.0	0.1289	1.0	0.9755	0.0668	1.0	0.5665	0.5418	0.6908	1.0	0.0496	0.5352	1.0	1.0	1.0	1.0	0.4115	0.0583
0.1816	0.0611	0.2106	1.0	0.0597	1.0	0.8899	0.2816	1.0	1.0	0.403	0.3381	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7421	0.1036
1.0	1.0	0.6015	1.0	0.9936	1.0	0.4324	0.4735	1.0	1.0	0.0852	0.2671	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7813
0.4478	0.1148	0.2735	1.0	0.5171	1.0	0.9154	0.2065	1.0	0.3014	0.2553	0.1091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0714	0.7387
0.1275	1.0	0.2719	1.0	0.3423	1.0	0.853	0.1599	1.0	0.5268	0.3755	0.1338	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.736	0.0726
1.0	1.0	1.0	1.0	0.7815	1.0	0.3718	0.7178	1.0	0.1974	0.4328	0.4463	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0871
1.0	1.0	1.0	1.0	0.7615	1.0	0.4219	0.9066	1.0	1.0	1.0	0.968	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1435
