0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.0391	0.0049	0.7295	1.0	0.0277	1.0	0.9925	0.0677	1.0	0.5747	0.3655	0.0514	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5565	0.0116
0.6376	0.4586	0.2687	1.0	0.0012	1.0	0.9999	0.024	1.0	0.8552	0.4518	0.0129	1.0	0.0342	0.4026	1.0	1.0	1.0	1.0	1.0	0.0825
0.1972	0.1591	0.4596	1.0	0.1622	1.0	0.989	0.1036	1.0	0.5531	0.7662	0.4241	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0678	0.0033
0.0451	0.2522	0.0564	1.0	0.2135	1.0	0.8894	0.2187	1.0	0.0077	0.1944	0.2382	1.0	1.0	1.0	1.0	0.0153	1.0	1.0	1.0	0.0633
0.111	0.4707	0.5319	1.0	0.3451	1.0	0.6201	0.4043	1.0	0.8221	0.4589	0.2276	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4044
0.438	1.0	0.9819	1.0	0.1402	1.0	0.6765	0.4236	1.0	1.0	0.7402	0.8108	1.0	1.0	0.3848	1.0	1.0	1.0	1.0	1.0	0.1503
0.0788	0.429	0.798	1.0	0.0037	1.0	0.8956	0.2859	1.0	0.5081	0.005	0.3951	1.0	1.0	0.3771	1.0	1.0	1.0	1.0	0.165	0.0013
0.4028	0.6712	0.637	1.0	0.1036	1.0	0.8966	0.2555	1.0	0.5643	0.07	0.2956	1.0	1.0	0.6078	1.0	1.0	1.0	1.0	0.8584	0.0675
0.4022	0.1586	0.5626	1.0	0.5201	1.0	0.9934	0.1104	1.0	0.0012	0.2697	0.2348	1.0	1.0	0.1188	1.0	1.0	1.0	1.0	1.0	0.3739
0.8767	1.0	0.5865	1.0	0.6546	1.0	0.8431	0.1294	1.0	0.2094	0.5601	0.1501	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7845	0.7157
0.1547	0.0087	0.2587	1.0	0.0006	1.0	0.9701	0.2808	1.0	0.6358	0.8937	0.3197	1.0	1.0	0.6827	1.0	1.0	1.0	1.0	0.246	0.0071
0.5847	0.631	0.1404	1.0	0.2037	1.0	0.8245	0.1859	1.0	0.4926	0.7539	0.2558	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0329
1.0	0.0433	1.0	1.0	0.8469	1.0	0.5494	0.4221	1.0	1.0	0.2923	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2496
0.3285	0.1544	0.5526	1.0	0.008	1.0	0.9934	0.3152	1.0	0.0745	0.5456	0.1916	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2433	0.0527
0.7623	0.3684	0.3572	1.0	0.203	1.0	0.7026	0.4778	1.0	1.0	0.9455	0.3994	1.0	1.0	1.0	1.0	0.0266	1.0	1.0	0.6324	0.0658
0.0636	0.2715	0.3687	1.0	0.1305	1.0	0.9741	0.0668	1.0	0.5627	0.5458	0.6935	1.0	0.0471	0.5318	1.0	1.0	1.0	1.0	0.4075	0.0553
0.1892	0.0667	0.2095	1.0	0.0568	1.0	0.8848	0.2847	1.0	1.0	0.3996	0.3382	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7417	0.094
1.0	1.0	0.6112	1.0	0.9925	1.0	0.4327	0.4746	1.0	1.0	0.0809	0.2661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7871
0.4414	0.1189	0.2665	1.0	0.5167	1.0	0.9102	0.2114	1.0	0.2981	0.2556	0.1111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0744	0.7392
0.1377	1.0	0.273	1.0	0.34	1.0	0.8518	0.1588	1.0	0.5377	0.3838	0.1343	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7374	0.0779
1.0	1.0	1.0	1.0	0.7867	1.0	0.3807	0.7166	1.0	0.207	0.4373	0.4379	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0844
1.0	1.0	1.0	1.0	0.7714	1.0	0.4165	0.9016	1.0	1.0	1.0	0.969	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1425
